rank,site,country,industry,lat,lon,status,composite_overall,composite_band,composite_confidence,air_followup,ghg_followup,nature_followup,air_confidence,ghg_confidence,nature_confidence,ghg_combustion_proxy,ghg_viirs_flaring_score,ghg_activity_score,ghg_combustion_minus_viirs,nature_kba_proximity,nature_kba_dist_km,nature_kba_overlap_ha,nature_kba_overlap_pct,nature_habitat_conversion,nature_habitat_loss_ha,nature_habitat_attrib_state,nature_spatial_offset_km,ghg_viirs_attrib_state,ghg_viirs_lit_contrast_pct,wind_attrib_states,dropped_indicators,fallbacks_fired,failures,pedagogy_flags,error
1,Morowali Industrial Park (IMIP),Indonesia (Sulawesi),Nickel/EV (deforestation frontier),-2.82,122.15,ok,0.531,Moderate,0.662,0.3,0.571,0.723,0.662,0.772,0.837,0.341,0.792,0.792,-0.451,0.551,5.968,0.0,0.0,0.726,1981.375,moderate,1.051,high,0.984,aai=sparse;aod=sparse;hcho=sparse;no2=high;so2=high,air.pm25.score;air.pm10.score;ghg.ch4.score,,air:?=site buffer (5.0 km) smaller than pm10 native pixel (44.5 km) — increase radius or pick a finer-resolution pollutant | air:?=site buffer (5.0 km) smaller than pm25 native pixel (44.5 km) — increase radius or pick a finer-resolution pollutant,HIGH_SIGNAL;GHG_GRAMMAR_DIVERGENCE;NATURE_ACTIVE;DEGRADATION,
2,Comodoro Rivadavia oil & gas,Argentina,Oil & gas / flaring,-45.86,-67.5,ok,0.432,Moderate,0.683,0.182,0.526,0.588,0.683,0.793,0.853,0.098,1.0,1.0,-0.902,1.0,0.0,2760.96,35.154,0.047,13.946,moderate,2.006,high,0.943,aai=sparse;aod=low;hcho=sparse;no2=low;so2=sparse,air.pm25.score;air.pm10.score,,air:?=site buffer (5.0 km) smaller than pm10 native pixel (44.5 km) — increase radius or pick a finer-resolution pollutant | air:?=site buffer (5.0 km) smaller than pm25 native pixel (44.5 km) — increase radius or pick a finer-resolution pollutant,GHG_GRAMMAR_DIVERGENCE;NATURE_ACTIVE;DEGRADATION,
3,Jamnagar refinery,India (Gujarat),Refining (combustion + flaring),22.35,69.85,ok,0.35,Moderate,0.668,0.161,0.501,0.388,0.668,0.781,0.831,0.051,1.0,1.0,-0.949,0.521,6.528,0.0,0.0,0.324,100.104,moderate,1.409,high,0.975,aai=low;aod=sparse;hcho=sparse;no2=sparse;so2=sparse,air.pm25.score;air.pm10.score,,air:?=site buffer (5.0 km) smaller than pm10 native pixel (44.5 km) — increase radius or pick a finer-resolution pollutant | air:?=site buffer (5.0 km) smaller than pm25 native pixel (44.5 km) — increase radius or pick a finer-resolution pollutant,GHG_GRAMMAR_DIVERGENCE;DEGRADATION,
4,"CATL battery plant, Ningde",China (Fujian),EV batteries,26.66,119.55,ok,0.306,Low,0.686,0.196,0.284,0.439,0.686,0.7,0.841,0.101,0.297,0.297,-0.195,0.013,43.581,0.0,0.0,0.187,239.367,moderate,1.786,high,0.965,aai=moderate;aod=moderate;hcho=moderate;no2=sparse;so2=sparse,air.pm25.score;air.pm10.score,,air:?=site buffer (5.0 km) smaller than pm10 native pixel (44.5 km) — increase radius or pick a finer-resolution pollutant | air:?=site buffer (5.0 km) smaller than pm25 native pixel (44.5 km) — increase radius or pick a finer-resolution pollutant,NATURE_ACTIVE;DEGRADATION,
5,Norilsk Nickel — Nadezhda smelter,Russia,Ni/Cu/Pd smelting (heavy SO₂),69.33,88.16,ok,0.305,Low,0.594,0.2,0.501,0.216,0.594,0.791,0.761,0.047,1.0,1.0,-0.953,0.007,50.0,0.0,0.0,0.004,0.0,sparse,,high,0.974,aai=low;aod=sparse;hcho=moderate;no2=sparse;so2=sparse,air.pm25.score;air.pm10.score,air.aod;air.so2,air:?=site buffer (5.0 km) smaller than pm10 native pixel (44.5 km) — increase radius or pick a finer-resolution pollutant | air:?=site buffer (5.0 km) smaller than pm25 native pixel (44.5 km) — increase radius or pick a finer-resolution pollutant,GHG_GRAMMAR_DIVERGENCE;DEGRADATION,
6,Carajás iron ore mine,Brazil (Pará),Iron ore mining in Amazon,-6.06,-50.16,ok,0.304,Low,0.661,0.148,0.163,0.601,0.661,0.661,0.854,0.045,0.028,0.028,0.018,1.0,0.0,7760.151,98.805,0.201,234.308,moderate,1.189,high,0.994,aai=sparse;aod=sparse;hcho=sparse;no2=sparse;so2=moderate,air.pm25.score;air.pm10.score;ghg.ch4.score,,air:?=site buffer (5.0 km) smaller than pm10 native pixel (44.5 km) — increase radius or pick a finer-resolution pollutant | air:?=site buffer (5.0 km) smaller than pm25 native pixel (44.5 km) — increase radius or pick a finer-resolution pollutant,NATURE_ACTIVE;DEGRADATION,
7,Ganzhou rare-earth processing,China (Jiangxi),Critical minerals (REE),25.85,114.93,ok,0.269,Low,0.675,0.178,0.219,0.411,0.675,0.686,0.847,0.087,0.125,0.125,-0.038,0.007,50.0,0.0,0.0,0.089,99.077,moderate,1.222,high,0.986,aai=low;aod=low;hcho=sparse;no2=moderate;so2=sparse,air.pm25.score;air.pm10.score,,air:?=site buffer (5.0 km) smaller than pm10 native pixel (44.5 km) — increase radius or pick a finer-resolution pollutant | air:?=site buffer (5.0 km) smaller than pm25 native pixel (44.5 km) — increase radius or pick a finer-resolution pollutant,NATURE_ACTIVE;DEGRADATION,
8,Bayan Obo rare-earth mine,China (Inner Mongolia),"Critical minerals (REE, arid)",41.77,109.97,ok,0.248,Low,0.658,0.144,0.139,0.461,0.671,0.658,0.802,0.015,0.0,0.0,0.015,1.0,0.0,7760.151,98.805,0.077,0.0,moderate,1.242,high,0.977,aai=low;aod=low;hcho=sparse;no2=sparse;so2=sparse,air.pm25.score;air.pm10.score,,air:?=site buffer (5.0 km) smaller than pm10 native pixel (44.5 km) — increase radius or pick a finer-resolution pollutant | air:?=site buffer (5.0 km) smaller than pm25 native pixel (44.5 km) — increase radius or pick a finer-resolution pollutant,NATURE_ACTIVE;DEGRADATION,
9,"Tongwei/LONGi polysilicon, Leshan",China (Sichuan),Solar PV polysilicon,29.55,103.77,ok,0.24,Low,0.663,0.146,0.159,0.415,0.663,0.663,0.833,0.04,0.024,0.024,0.016,0.024,37.422,0.0,0.0,0.069,0.0,high,0.133,high,0.907,aai=moderate;aod=sparse;hcho=sparse;no2=sparse;so2=sparse,air.pm25.score;air.pm10.score,,air:?=site buffer (5.0 km) smaller than pm10 native pixel (44.5 km) — increase radius or pick a finer-resolution pollutant | air:?=site buffer (5.0 km) smaller than pm25 native pixel (44.5 km) — increase radius or pick a finer-resolution pollutant,NATURE_ACTIVE;DEGRADATION,
10,Escondida copper mine,Chile,Copper mining (arid),-24.27,-69.07,ok,0.328,Low,0.694,0.264,0.35,0.369,0.694,0.712,0.832,0.265,0.252,0.252,0.012,0.007,50.0,0.0,0.0,0.002,0.0,sparse,,high,0.96,aai=low;aod=sparse;hcho=low;no2=low;so2=low,air.pm25.score;air.pm10.score,,air:?=site buffer (5.0 km) smaller than pm10 native pixel (44.5 km) — increase radius or pick a finer-resolution pollutant | air:?=site buffer (5.0 km) smaller than pm25 native pixel (44.5 km) — increase radius or pick a finer-resolution pollutant,DEGRADATION,
11,"TSMC Fab 18, Tainan",Taiwan,Semiconductors,22.97,120.27,ok,0.232,Low,0.663,0.159,0.143,0.395,0.687,0.663,0.835,0.022,0.0,0.0,0.022,0.385,9.547,0.0,0.0,0.0,0.0,moderate,1.742,moderate,0.844,aai=low;aod=moderate;hcho=sparse;no2=sparse;so2=sparse,air.pm25.score;air.pm10.score,,air:?=site buffer (5.0 km) smaller than pm10 native pixel (44.5 km) — increase radius or pick a finer-resolution pollutant | air:?=site buffer (5.0 km) smaller than pm25 native pixel (44.5 km) — increase radius or pick a finer-resolution pollutant,DEGRADATION,
12,Grasberg mine,Indonesia (Papua),Cu/Au mining in rainforest,-4.06,137.11,FAILED,,—,,,,,,,,,,,,,,,,,,,,,,,,,EEException: Image.remap: Image has no bands.,SITE_FAILED,EEException: Image.remap: Image has no bands.
